# time [s],current [A],voltage [V],temperature [K],c_p_avg [mol/m^3],c_n_avg [mol/m^3]
0,-15,4.00307517492863,298.15,29252.006443504,22404.961910205
0.5,-15,4.00287350426897,298.15074732465,29253.6532799181,22403.1308505708
1,-15,4.00268420273082,298.15149726165,29255.3001163321,22401.2997909366
1.5,-15,4.00250356217708,298.152249376675,29256.9469527462,22399.4687313023
2,-15,4.00233019301576,298.153003535139,29258.5937891603,22397.6376716681
2.5,-15,4.00216258344176,298.153759425715,29260.2406255744,22395.8066120339
3,-15,4.00200016778194,298.154516964412,29261.8874619884,22393.9755523997
3.5,-15,4.00184182780549,298.155275850069,29263.5342984025,22392.1444927654
4,-15,4.00168709642013,298.156035959983,29265.1811348166,22390.3134331312
4.5,-15,4.00153579761242,298.15679725743,29266.8279712307,22388.482373497
5,-15,4.00138793924138,298.157559759609,29268.4748076447,22386.6513138628
5.5,-15,4.00124234852453,298.158323059024,29270.1216440588,22384.8202542286
6,-15,4.00109933969851,298.159087259746,29271.7684804729,22382.9891945943
6.5,-15,4.00095824651173,298.159852123519,29273.4153168869,22381.1581349601
7,-15,4.00081932635193,298.160617731576,29275.062153301,22379.3270753259
7.5,-15,4.00068273369529,298.161384112917,29276.7089897151,22377.4960156917
8,-15,4.0005475804404,298.162150957609,29278.3558261292,22375.6649560574
8.5,-15,4.00041382679024,298.162918247333,29280.0026625432,22373.8338964232
9,-15,4.00028227384461,298.163686197765,29281.6494989573,22372.002836789
9.5,-15,4.00015189241964,298.164454474729,29283.2963353714,22370.1717771548
10,-15,4.00002277682207,298.165223090447,29284.9431717855,22368.3407175206
10.5,-15,3.99989595650282,298.165992268441,29286.5900081995,22366.5096578863
11,-15,3.99976913618358,298.166761446434,29288.2368446136,22364.6785982521
11.5,-15,3.99964327222049,298.167530811305,29289.8836810277,22362.8475386179
12,-15,3.99951962507412,298.168300609352,29291.5305174418,22361.0164789837
12.5,-15,3.99939597792774,298.1690704074,29293.1773538558,22359.1854193494
13,-15,3.99927356086212,298.16984035851,29294.8241902699,22357.3543597152
13.5,-15,3.99915265246605,298.170610497349,29296.471026684,22355.523300081
14,-15,3.99903174406998,298.171380636187,29298.1178630981,22353.6922404468
14.5,-15,3.9989122584665,298.172150835504,29299.7646995121,22351.8611808126
15,-15,3.99879373374329,298.172921075665,29301.4115359262,22350.0301211783
15.5,-15,3.99867520902007,298.173691315825,29303.0583723403,22348.1990615441
16,-15,3.99855829616076,298.174461478648,29304.7052087544,22346.3680019099
16.5,-15,3.99844193605246,298.175231614949,29306.3520451684,22344.5369422757
17,-15,3.99832557594416,298.17600175125,29307.9988815825,22342.7058826414
17.5,-15,3.99821082703214,298.176771633716,29309.6457179966,22340.8748230072
18,-15,3.99809627240066,298.177541485574,29311.2925544107,22339.043763373
18.5,-15,3.99798179881499,298.178311319415,29312.9393908247,22337.2127037388
19,-15,3.99786926299904,298.179080722458,29314.5862272388,22335.3816441046
19.5,-15,3.99775672718309,298.179850125501,29316.2330636529,22333.5505844703
20,-15,3.99764439645978,298.180619416867,29317.8799000669,22331.7195248361
20.5,-15,3.997532952162,298.181388225557,29319.526736481,22329.8884652019
21,-15,3.99742150786422,298.182157034246,29321.1735728951,22328.0574055677
21.5,-15,3.99731059338972,298.18292560059,29322.8204093092,22326.2263459334
22,-15,3.99720072759999,298.183693687258,29324.4672457232,22324.3952862992
22.5,-15,3.99709086181027,298.184461773926,29326.1140821373,22322.564226665
23,-15,3.99698161565062,298.185229456321,29327.7609185514,22320.7331670308
23.5,-15,3.99687303167845,298.185996706677,29329.4077549655,22318.9021073966
24,-15,3.99676444770629,298.186763957032,29331.0545913795,22317.0710477623
24.5,-15,3.99665660059511,298.187530614135,29332.7014277936,22315.2399881281
25,-15,3.99654918411052,298.188296924536,29334.3482642077,22313.4089284939
25.5,-15,3.99644176762592,298.189063234938,29335.9951006218,22311.5778688597
26,-15,3.99633519645991,298.189828739567,29337.6419370358,22309.7468092254
26.5,-15,3.99622886524414,298.190594015473,29339.2887734499,22307.9157495912
27,-15,3.99612253402837,298.191359291378,29340.935609864,22306.084689957
27.5,-15,3.99601713005364,298.192123528879,29342.5824462781,22304.2536303228
28,-15,3.99591179947146,298.192887684188,29344.2292826921,22302.4225706886
28.5,-15,3.99580657054037,298.193651702942,29345.8761191062,22300.5915110543
29,-15,3.99570260613753,298.194414022961,29347.5229555203,22298.7604514201
29.5,-15,3.99559864173469,298.195176342979,29349.1697919344,22296.9293917859
30,-15,3.99549467733186,298.195938662998,29350.8166283484,22295.0983321517
30.5,-15,3.99539071292902,298.196700983016,29352.4634647625,22293.2672725175
31,-15,3.99528674852619,298.197463303035,29354.1103011766,22291.4362128832
31.5,-15,3.99518338925783,298.198224634727,29355.7571375907,22289.605153249
32,-15,3.9950810607591,298.198984282932,29357.4039740047,22287.7740936148
32.5,-15,3.99497873226037,298.199743931136,29359.0508104188,22285.9430339806
33,-15,3.99487640376164,298.200503579341,29360.6976468329,22284.1119743463
33.5,-15,3.9947740752629,298.201263227545,29362.3444832469,22282.2809147121
34,-15,3.99467174676417,298.20202287575,29363.991319661,22280.4498550779
34.5,-15,3.99457038585621,298.20278059038,29365.6381560751,22278.6187954437
35,-15,3.99446951148207,298.20353733275,29367.2849924892,22276.7877358095
35.5,-15,3.99436863710793,298.204294075121,29368.9318289032,22274.9566761752
36,-15,3.9942677627338,298.205050817491,29370.5786653173,22273.125616541
36.5,-15,3.99416688835966,298.205807559862,29372.2255017314,22271.2945569068
37,-15,3.99406601398553,298.206564302232,29373.8723381455,22269.4634972726
37.5,-15,3.99396639692284,298.207318058622,29375.5191745595,22267.6324376383
38,-15,3.99386683100226,298.208071693555,29377.1660109736,22265.8013780041
38.5,-15,3.99376726508167,298.208825328488,29378.8128473877,22263.9703183699
39,-15,3.99366769916109,298.209578963421,29380.4596838018,22262.1392587357
39.5,-15,3.99356813324051,298.210332598354,29382.1065202158,22260.3081991015
40,-15,3.99346887249493,298.211085391387,29383.7533566299,22258.4771394672
40.5,-15,3.99337049672562,298.211835742999,29385.400193044,22256.646079833
41,-15,3.99327212095631,298.21258609461,29387.047029458,22254.8150201988
