# Time [s], Current [A], Terminal voltage [V], Temperature [K], csp_av [mol.m-3] , csn_av [mol.m-3]
0.0000,2.5000,4.0933,298.1500,17038.0000,29866.0000
20.0000,2.5000,4.0488,298.2791,17138.3958,29787.0126
40.0000,2.5000,4.0330,298.4089,17238.7916,29708.0251
60.0000,2.5000,4.0249,298.5371,17339.1874,29629.0377
80.0000,2.5000,4.0188,298.6624,17439.5831,29550.0502
100.0000,2.5000,4.0143,298.7844,17539.9789,29471.0628
120.0000,2.5000,4.0109,298.9028,17640.3747,29392.0753
140.0000,2.5000,4.0082,299.0175,17740.7705,29313.0879
160.0000,2.5000,4.0058,299.1286,17841.1663,29234.1004
180.0000,2.5000,4.0037,299.2362,17941.5621,29155.1130
200.0000,2.5000,4.0021,299.3401,18041.9578,29076.1256
220.0000,2.5000,4.0016,299.4405,18142.3536,28997.1381
240.0000,2.5000,4.0010,299.5377,18242.7494,28918.1507
260.0000,2.5000,4.0000,299.6317,18343.1452,28839.1632
280.0000,2.5000,3.9991,299.7227,18443.5410,28760.1758
300.0000,2.5000,3.9982,299.8107,18543.9368,28681.1883
320.0000,2.5000,3.9973,299.8957,18644.3326,28602.2009
340.0000,2.5000,3.9965,299.9779,18744.7283,28523.2135
360.0000,2.5000,3.9960,300.0574,18845.1241,28444.2260
380.0000,2.5000,3.9953,300.1344,18945.5199,28365.2386
400.0000,2.5000,3.9946,300.2088,19045.9157,28286.2511
420.0000,2.5000,3.9942,300.2806,19146.3115,28207.2637
440.0000,2.5000,3.9938,300.3501,19246.7073,28128.2762
460.0000,2.5000,3.9932,300.4174,19347.1030,28049.2888
480.0000,2.5000,3.9924,300.4824,19447.4988,27970.3013
500.0000,2.5000,3.9920,300.5452,19547.8946,27891.3139
520.0000,2.5000,3.9918,300.6058,19648.2904,27812.3265
540.0000,2.5000,3.9916,300.6645,19748.6862,27733.3390
560.0000,2.5000,3.9910,300.7212,19849.0820,27654.3516
580.0000,2.5000,3.9905,300.7760,19949.4778,27575.3641
600.0000,2.5000,3.9900,300.8291,20049.8735,27496.3767
620.0000,2.5000,3.9891,300.8804,20150.2693,27417.3892
640.0000,2.5000,3.9882,300.9300,20250.6651,27338.4018
660.0000,2.5000,3.9872,300.9780,20351.0609,27259.4143
680.0000,2.5000,3.9863,301.0245,20451.4567,27180.4269
700.0000,2.5000,3.9853,301.0694,20551.8525,27101.4395
720.0000,2.5000,3.9836,301.1128,20652.2482,27022.4520
740.0000,2.5000,3.9817,301.1546,20752.6440,26943.4646
760.0000,2.5000,3.9802,301.1949,20853.0398,26864.4771
780.0000,2.5000,3.9787,301.2339,20953.4356,26785.4897
800.0000,2.5000,3.9770,301.2716,21053.8314,26706.5022
820.0000,2.5000,3.9750,301.3080,21154.2272,26627.5148
840.0000,2.5000,3.9728,301.3431,21254.6230,26548.5274
860.0000,2.5000,3.9704,301.3769,21355.0187,26469.5399
880.0000,2.5000,3.9681,301.4097,21455.4145,26390.5525
900.0000,2.5000,3.9658,301.4412,21555.8103,26311.5650
920.0000,2.5000,3.9635,301.4716,21656.2061,26232.5776
940.0000,2.5000,3.9612,301.5010,21756.6019,26153.5901
960.0000,2.5000,3.9590,301.5293,21856.9977,26074.6027
980.0000,2.5000,3.9572,301.5566,21957.3934,25995.6152
1000.0000,2.5000,3.9555,301.5830,22057.7892,25916.6278
1020.0000,2.5000,3.9534,301.6085,22158.1850,25837.6404
1040.0000,2.5000,3.9510,301.6331,22258.5808,25758.6529
1060.0000,2.5000,3.9485,301.6568,22358.9766,25679.6655
1080.0000,2.5000,3.9462,301.6796,22459.3724,25600.6780
1100.0000,2.5000,3.9438,301.7016,22559.7682,25521.6906
1120.0000,2.5000,3.9412,301.7229,22660.1639,25442.7031
1140.0000,2.5000,3.9385,301.7433,22760.5597,25363.7157
1160.0000,2.5000,3.9357,301.7631,22860.9555,25284.7282
1180.0000,2.5000,3.9330,301.7820,22961.3513,25205.7408
1200.0000,2.5000,3.9306,301.8003,23061.7471,25126.7534
1220.0000,2.5000,3.9282,301.8178,23162.1429,25047.7659
1240.0000,2.5000,3.9254,301.8348,23262.5386,24968.7785
1260.0000,2.5000,3.9227,301.8511,23362.9344,24889.7910
1280.0000,2.5000,3.9200,301.8668,23463.3302,24810.8036
1300.0000,2.5000,3.9175,301.8819,23563.7260,24731.8161
1320.0000,2.5000,3.9148,301.8964,23664.1218,24652.8287
1340.0000,2.5000,3.9122,301.9104,23764.5176,24573.8413
1360.0000,2.5000,3.9097,301.9238,23864.9134,24494.8538
1380.0000,2.5000,3.9073,301.9367,23965.3091,24415.8664
1400.0000,2.5000,3.9050,301.9492,24065.7049,24336.8789
1420.0000,2.5000,3.9024,301.9611,24166.1007,24257.8915
1440.0000,2.5000,3.9001,301.9726,24266.4965,24178.9040
1460.0000,2.5000,3.8978,301.9837,24366.8923,24099.9166
1480.0000,2.5000,3.8953,301.9943,24467.2881,24020.9291
1500.0000,2.5000,3.8928,302.0045,24567.6838,23941.9417
1520.0000,2.5000,3.8906,302.0143,24668.0796,23862.9543
1540.0000,2.5000,3.8882,302.0237,24768.4754,23783.9668
1560.0000,2.5000,3.8855,302.0328,24868.8712,23704.9794
1580.0000,2.5000,3.8834,302.0415,24969.2670,23625.9919
1600.0000,2.5000,3.8813,302.0498,25069.6628,23547.0045
1620.0000,2.5000,3.8791,302.0578,25170.0585,23468.0170
1640.0000,2.5000,3.8766,302.0656,25270.4543,23389.0296
1660.0000,2.5000,3.8742,302.0729,25370.8501,23310.0421
1680.0000,2.5000,3.8724,302.0800,25471.2459,23231.0547
1700.0000,2.5000,3.8705,302.0868,25571.6417,23152.0673
1720.0000,2.5000,3.8683,302.0933,25672.0375,23073.0798
1740.0000,2.5000,3.8663,302.0996,25772.4333,22994.0924
1760.0000,2.5000,3.8644,302.1056,25872.8290,22915.1049
1780.0000,2.5000,3.8623,302.1113,25973.2248,22836.1175
1800.0000,2.5000,3.8605,302.1169,26073.6206,22757.1300
1820.0000,2.5000,3.8583,302.1222,26174.0164,22678.1426
1840.0000,2.5000,3.8562,302.1273,26274.4122,22599.1551
1860.0000,2.5000,3.8546,302.1323,26374.8080,22520.1677
1880.0000,2.5000,3.8523,302.1371,26475.2037,22441.1803
1900.0000,2.5000,3.8503,302.1417,26575.5995,22362.1928
1920.0000,2.5000,3.8485,302.1462,26675.9953,22283.2054
1940.0000,2.5000,3.8464,302.1506,26776.3911,22204.2179
1960.0000,2.5000,3.8446,302.1549,26876.7869,22125.2305
1980.0000,2.5000,3.8427,302.1591,26977.1827,22046.2430
2000.0000,2.5000,3.8410,302.1633,27077.5785,21967.2556
2020.0000,2.5000,3.8388,302.1674,27177.9742,21888.2682
2040.0000,2.5000,3.8367,302.1714,27278.3700,21809.2807
2060.0000,2.5000,3.8349,302.1754,27378.7658,21730.2933
2080.0000,2.5000,3.8332,302.1794,27479.1616,21651.3058
2100.0000,2.5000,3.8311,302.1836,27579.5574,21572.3184
2120.0000,2.5000,3.8288,302.1877,27679.9532,21493.3309
2140.0000,2.5000,3.8268,302.1919,27780.3489,21414.3435
2160.0000,2.5000,3.8246,302.1963,27880.7447,21335.3560
2180.0000,2.5000,3.8221,302.2007,27981.1405,21256.3686
2200.0000,2.5000,3.8196,302.2051,28081.5363,21177.3812
2220.0000,2.5000,3.8175,302.2095,28181.9321,21098.3937
2240.0000,2.5000,3.8149,302.2141,28282.3279,21019.4063
2260.0000,2.5000,3.8116,302.2187,28382.7237,20940.4188
2280.0000,2.5000,3.8084,302.2231,28483.1194,20861.4314
2300.0000,2.5000,3.8056,302.2276,28583.5152,20782.4439
2320.0000,2.5000,3.8023,302.2323,28683.9110,20703.4565
2340.0000,2.5000,3.7977,302.2368,28784.3068,20624.4690
2360.0000,2.5000,3.7937,302.2410,28884.7026,20545.4816
2380.0000,2.5000,3.7905,302.2450,28985.0984,20466.4942
2400.0000,2.5000,3.7874,302.2488,29085.4941,20387.5067
2420.0000,2.5000,3.7840,302.2523,29185.8899,20308.5193
2440.0000,2.5000,3.7801,302.2553,29286.2857,20229.5318
2460.0000,2.5000,3.7773,302.2578,29386.6815,20150.5444
2480.0000,2.5000,3.7744,302.2602,29487.0773,20071.5569
2500.0000,2.5000,3.7707,302.2622,29587.4731,19992.5695
2520.0000,2.5000,3.7669,302.2637,29687.8689,19913.5821
2540.0000,2.5000,3.7633,302.2647,29788.2646,19834.5946
2560.0000,2.5000,3.7603,302.2653,29888.6604,19755.6072
2580.0000,2.5000,3.7571,302.2657,29989.0562,19676.6197
2600.0000,2.5000,3.7537,302.2656,30089.4520,19597.6323
2620.0000,2.5000,3.7506,302.2651,30189.8478,19518.6448
2640.0000,2.5000,3.7475,302.2643,30290.2436,19439.6574
2660.0000,2.5000,3.7444,302.2634,30390.6393,19360.6699
2680.0000,2.5000,3.7414,302.2622,30491.0351,19281.6825
2700.0000,2.5000,3.7389,302.2610,30591.4309,19202.6951
2720.0000,2.5000,3.7366,302.2597,30691.8267,19123.7076
2740.0000,2.5000,3.7342,302.2585,30792.2225,19044.7202
2760.0000,2.5000,3.7313,302.2572,30892.6183,18965.7327
2780.0000,2.5000,3.7284,302.2559,30993.0141,18886.7453
2800.0000,2.5000,3.7262,302.2545,31093.4098,18807.7578
2820.0000,2.5000,3.7241,302.2531,31193.8056,18728.7704
2840.0000,2.5000,3.7217,302.2518,31294.2014,18649.7829
2860.0000,2.5000,3.7186,302.2506,31394.5972,18570.7955
2880.0000,2.5000,3.7158,302.2493,31494.9930,18491.8081
2900.0000,2.5000,3.7137,302.2479,31595.3888,18412.8206
2920.0000,2.5000,3.7117,302.2465,31695.7845,18333.8332
2940.0000,2.5000,3.7094,302.2453,31796.1803,18254.8457
2960.0000,2.5000,3.7065,302.2441,31896.5761,18175.8583
2980.0000,2.5000,3.7041,302.2428,31996.9719,18096.8708
3000.0000,2.5000,3.7018,302.2415,32097.3677,18017.8834
3020.0000,2.5000,3.6993,302.2403,32197.7635,17938.8960
3040.0000,2.5000,3.6966,302.2391,32298.1593,17859.9085
3060.0000,2.5000,3.6942,302.2379,32398.5550,17780.9211
3080.0000,2.5000,3.6919,302.2368,32498.9508,17701.9336
3100.0000,2.5000,3.6893,302.2357,32599.3466,17622.9462
3120.0000,2.5000,3.6864,302.2346,32699.7424,17543.9587
3140.0000,2.5000,3.6839,302.2335,32800.1382,17464.9713
3160.0000,2.5000,3.6817,302.2324,32900.5340,17385.9838
3180.0000,2.5000,3.6794,302.2313,33000.9297,17306.9964
3200.0000,2.5000,3.6768,302.2303,33101.3255,17228.0090
3220.0000,2.5000,3.6745,302.2293,33201.7213,17149.0215
3240.0000,2.5000,3.6721,302.2284,33302.1171,17070.0341
3260.0000,2.5000,3.6695,302.2275,33402.5129,16991.0466
3280.0000,2.5000,3.6668,302.2267,33502.9087,16912.0592
3300.0000,2.5000,3.6642,302.2258,33603.3045,16833.0717
3320.0000,2.5000,3.6619,302.2249,33703.7002,16754.0843
3340.0000,2.5000,3.6597,302.2241,33804.0960,16675.0968
3360.0000,2.5000,3.6571,302.2234,33904.4918,16596.1094
3380.0000,2.5000,3.6544,302.2227,34004.8876,16517.1220
3400.0000,2.5000,3.6520,302.2220,34105.2834,16438.1345
3420.0000,2.5000,3.6497,302.2213,34205.6792,16359.1471
3440.0000,2.5000,3.6473,302.2207,34306.0749,16280.1596
3460.0000,2.5000,3.6447,302.2202,34406.4707,16201.1722
3480.0000,2.5000,3.6419,302.2197,34506.8665,16122.1847
3500.0000,2.5000,3.6392,302.2191,34607.2623,16043.1973
3520.0000,2.5000,3.6371,302.2185,34707.6581,15964.2099
3540.0000,2.5000,3.6354,302.2181,34808.0539,15885.2224
3560.0000,2.5000,3.6330,302.2177,34908.4497,15806.2350
3580.0000,2.5000,3.6304,302.2173,35008.8454,15727.2475
3600.0000,2.5000,3.6281,302.2170,35109.2412,15648.2601
3620.0000,2.5000,3.6259,302.2167,35209.6370,15569.2726
3640.0000,2.5000,3.6238,302.2164,35310.0328,15490.2852
3660.0000,2.5000,3.6217,302.2162,35410.4286,15411.2977
3680.0000,2.5000,3.6195,302.2161,35510.8244,15332.3103
3700.0000,2.5000,3.6170,302.2160,35611.2201,15253.3229
3720.0000,2.5000,3.6145,302.2159,35711.6159,15174.3354
3740.0000,2.5000,3.6122,302.2158,35812.0117,15095.3480
3760.0000,2.5000,3.6099,302.2158,35912.4075,15016.3605
3780.0000,2.5000,3.6079,302.2158,36012.8033,14937.3731
3800.0000,2.5000,3.6057,302.2160,36113.1991,14858.3856
3820.0000,2.5000,3.6034,302.2161,36213.5949,14779.3982
3840.0000,2.5000,3.6014,302.2162,36313.9906,14700.4107
3860.0000,2.5000,3.5998,302.2164,36414.3864,14621.4233
3880.0000,2.5000,3.5985,302.2166,36514.7822,14542.4359
3900.0000,2.5000,3.5970,302.2170,36615.1780,14463.4484
3920.0000,2.5000,3.5948,302.2174,36715.5738,14384.4610
3940.0000,2.5000,3.5928,302.2179,36815.9696,14305.4735
3960.0000,2.5000,3.5908,302.2186,36916.3653,14226.4861
3980.0000,2.5000,3.5884,302.2192,37016.7611,14147.4986
4000.0000,2.5000,3.5864,302.2198,37117.1569,14068.5112
4020.0000,2.5000,3.5849,302.2205,37217.5527,13989.5238
