# Time [s], Current [A], Terminal voltage [V], Temperature [K], csp_av [mol.m-3], csn_av [mol.m-3]
0.0000,10.0000,3.9605,298.1500,17038.0000,29866.0000
5.0000,10.0000,3.8988,298.4618,17138.3958,29787.0126
10.0000,10.0000,3.8771,298.7778,17238.7916,29708.0251
15.0000,10.0000,3.8641,299.0976,17339.1874,29629.0377
20.0000,10.0000,3.8548,299.4199,17439.5831,29550.0502
25.0000,10.0000,3.8487,299.7440,17539.9789,29471.0628
30.0000,10.0000,3.8436,300.0690,17640.3747,29392.0753
35.0000,10.0000,3.8395,300.3942,17740.7705,29313.0879
40.0000,10.0000,3.8363,300.7189,17841.1663,29234.1004
45.0000,10.0000,3.8332,301.0425,17941.5621,29155.1130
50.0000,10.0000,3.8309,301.3646,18041.9578,29076.1256
55.0000,10.0000,3.8282,301.6848,18142.3536,28997.1381
60.0000,10.0000,3.8263,302.0028,18242.7494,28918.1507
65.0000,10.0000,3.8240,302.3183,18343.1452,28839.1632
70.0000,10.0000,3.8218,302.6311,18443.5410,28760.1758
75.0000,10.0000,3.8193,302.9408,18543.9368,28681.1883
80.0000,10.0000,3.8167,303.2472,18644.3326,28602.2009
85.0000,10.0000,3.8139,303.5498,18744.7283,28523.2135
90.0000,10.0000,3.8112,303.8486,18845.1241,28444.2260
95.0000,10.0000,3.8082,304.1433,18945.5199,28365.2386
100.0000,10.0000,3.8050,304.4338,19045.9157,28286.2511
105.0000,10.0000,3.8023,304.7201,19146.3115,28207.2637
110.0000,10.0000,3.7995,305.0021,19246.7073,28128.2762
115.0000,10.0000,3.7973,305.2799,19347.1030,28049.2888
120.0000,10.0000,3.7948,305.5536,19447.4988,27970.3013
125.0000,10.0000,3.7919,305.8230,19547.8946,27891.3139
130.0000,10.0000,3.7891,306.0883,19648.2904,27812.3265
135.0000,10.0000,3.7863,306.3493,19748.6862,27733.3390
140.0000,10.0000,3.7833,306.6062,19849.0820,27654.3516
145.0000,10.0000,3.7806,306.8590,19949.4778,27575.3641
150.0000,10.0000,3.7778,307.1078,20049.8735,27496.3767
155.0000,10.0000,3.7751,307.3526,20150.2693,27417.3892
160.0000,10.0000,3.7724,307.5935,20250.6651,27338.4018
165.0000,10.0000,3.7699,307.8304,20351.0609,27259.4143
170.0000,10.0000,3.7676,308.0637,20451.4567,27180.4269
175.0000,10.0000,3.7653,308.2933,20551.8525,27101.4395
180.0000,10.0000,3.7629,308.5193,20652.2482,27022.4520
185.0000,10.0000,3.7606,308.7418,20752.6440,26943.4646
190.0000,10.0000,3.7585,308.9607,20853.0398,26864.4771
195.0000,10.0000,3.7563,309.1762,20953.4356,26785.4897
200.0000,10.0000,3.7543,309.3885,21053.8314,26706.5022
205.0000,10.0000,3.7525,309.5974,21154.2272,26627.5148
210.0000,10.0000,3.7508,309.8031,21254.6230,26548.5274
215.0000,10.0000,3.7489,310.0057,21355.0187,26469.5399
220.0000,10.0000,3.7470,310.2053,21455.4145,26390.5525
225.0000,10.0000,3.7456,310.4019,21555.8103,26311.5650
230.0000,10.0000,3.7440,310.5956,21656.2061,26232.5776
235.0000,10.0000,3.7425,310.7864,21756.6019,26153.5901
240.0000,10.0000,3.7412,310.9745,21856.9977,26074.6027
245.0000,10.0000,3.7397,311.1597,21957.3934,25995.6152
250.0000,10.0000,3.7383,311.3423,22057.7892,25916.6278
255.0000,10.0000,3.7371,311.5223,22158.1850,25837.6404
260.0000,10.0000,3.7359,311.6997,22258.5808,25758.6529
265.0000,10.0000,3.7345,311.8745,22358.9766,25679.6655
270.0000,10.0000,3.7333,312.0469,22459.3724,25600.6780
275.0000,10.0000,3.7323,312.2170,22559.7682,25521.6906
280.0000,10.0000,3.7312,312.3846,22660.1639,25442.7031
285.0000,10.0000,3.7300,312.5499,22760.5597,25363.7157
290.0000,10.0000,3.7288,312.7130,22860.9555,25284.7282
295.0000,10.0000,3.7273,312.8739,22961.3513,25205.7408
300.0000,10.0000,3.7259,313.0327,23061.7471,25126.7534
305.0000,10.0000,3.7245,313.1895,23162.1429,25047.7659
310.0000,10.0000,3.7224,313.3442,23262.5386,24968.7785
315.0000,10.0000,3.7205,313.4971,23362.9344,24889.7910
320.0000,10.0000,3.7185,313.6480,23463.3302,24810.8036
325.0000,10.0000,3.7159,313.7970,23563.7260,24731.8161
330.0000,10.0000,3.7133,313.9440,23664.1218,24652.8287
335.0000,10.0000,3.7104,314.0890,23764.5176,24573.8413
340.0000,10.0000,3.7072,314.2321,23864.9134,24494.8538
345.0000,10.0000,3.7044,314.3733,23965.3091,24415.8664
350.0000,10.0000,3.7020,314.5127,24065.7049,24336.8789
355.0000,10.0000,3.7001,314.6504,24166.1007,24257.8915
360.0000,10.0000,3.6973,314.7864,24266.4965,24178.9040
365.0000,10.0000,3.6947,314.9208,24366.8923,24099.9166
370.0000,10.0000,3.6921,315.0537,24467.2881,24020.9291
375.0000,10.0000,3.6894,315.1851,24567.6838,23941.9417
380.0000,10.0000,3.6875,315.3148,24668.0796,23862.9543
385.0000,10.0000,3.6847,315.4431,24768.4754,23783.9668
390.0000,10.0000,3.6815,315.5699,24868.8712,23704.9794
395.0000,10.0000,3.6788,315.6954,24969.2670,23625.9919
400.0000,10.0000,3.6768,315.8196,25069.6628,23547.0045
405.0000,10.0000,3.6738,315.9423,25170.0585,23468.0170
410.0000,10.0000,3.6707,316.0636,25270.4543,23389.0296
415.0000,10.0000,3.6682,316.1834,25370.8501,23310.0421
420.0000,10.0000,3.6659,316.3021,25471.2459,23231.0547
425.0000,10.0000,3.6625,316.4195,25571.6417,23152.0673
430.0000,10.0000,3.6595,316.5355,25672.0375,23073.0798
435.0000,10.0000,3.6574,316.6502,25772.4333,22994.0924
440.0000,10.0000,3.6549,316.7638,25872.8290,22915.1049
445.0000,10.0000,3.6516,316.8759,25973.2248,22836.1175
450.0000,10.0000,3.6485,316.9869,26073.6206,22757.1300
455.0000,10.0000,3.6461,317.0967,26174.0164,22678.1426
460.0000,10.0000,3.6435,317.2054,26274.4122,22599.1551
465.0000,10.0000,3.6405,317.3127,26374.8080,22520.1677
470.0000,10.0000,3.6376,317.4189,26475.2037,22441.1803
475.0000,10.0000,3.6349,317.5239,26575.5995,22362.1928
480.0000,10.0000,3.6320,317.6278,26675.9953,22283.2054
485.0000,10.0000,3.6289,317.7305,26776.3911,22204.2179
490.0000,10.0000,3.6261,317.8321,26876.7869,22125.2305
495.0000,10.0000,3.6232,317.9325,26977.1827,22046.2430
500.0000,10.0000,3.6202,318.0317,27077.5785,21967.2556
505.0000,10.0000,3.6171,318.1297,27177.9742,21888.2682
510.0000,10.0000,3.6140,318.2267,27278.3700,21809.2807
515.0000,10.0000,3.6115,318.3226,27378.7658,21730.2933
520.0000,10.0000,3.6088,318.4174,27479.1616,21651.3058
525.0000,10.0000,3.6053,318.5111,27579.5574,21572.3184
530.0000,10.0000,3.6025,318.6036,27679.9532,21493.3309
535.0000,10.0000,3.5998,318.6950,27780.3489,21414.3435
540.0000,10.0000,3.5962,318.7853,27880.7447,21335.3560
545.0000,10.0000,3.5935,318.8745,27981.1405,21256.3686
550.0000,10.0000,3.5907,318.9626,28081.5363,21177.3812
555.0000,10.0000,3.5877,319.0497,28181.9321,21098.3937
560.0000,10.0000,3.5846,319.1354,28282.3279,21019.4063
565.0000,10.0000,3.5816,319.2201,28382.7237,20940.4188
570.0000,10.0000,3.5789,319.3038,28483.1194,20861.4314
575.0000,10.0000,3.5760,319.3865,28583.5152,20782.4439
580.0000,10.0000,3.5728,319.4678,28683.9110,20703.4565
585.0000,10.0000,3.5698,319.5480,28784.3068,20624.4690
590.0000,10.0000,3.5669,319.6271,28884.7026,20545.4816
595.0000,10.0000,3.5643,319.7050,28985.0984,20466.4942
600.0000,10.0000,3.5611,319.7817,29085.4941,20387.5067
605.0000,10.0000,3.5584,319.8571,29185.8899,20308.5193
610.0000,10.0000,3.5557,319.9313,29286.2857,20229.5318
615.0000,10.0000,3.5529,320.0045,29386.6815,20150.5444
620.0000,10.0000,3.5502,320.0765,29487.0773,20071.5569
625.0000,10.0000,3.5473,320.1473,29587.4731,19992.5695
630.0000,10.0000,3.5446,320.2168,29687.8689,19913.5821
635.0000,10.0000,3.5421,320.2852,29788.2646,19834.5946
640.0000,10.0000,3.5396,320.3525,29888.6604,19755.6072
645.0000,10.0000,3.5369,320.4188,29989.0562,19676.6197
650.0000,10.0000,3.5345,320.4840,30089.4520,19597.6323
655.0000,10.0000,3.5324,320.5482,30189.8478,19518.6448
660.0000,10.0000,3.5302,320.6115,30290.2436,19439.6574
665.0000,10.0000,3.5282,320.6739,30390.6393,19360.6699
670.0000,10.0000,3.5265,320.7356,30491.0351,19281.6825
675.0000,10.0000,3.5248,320.7966,30591.4309,19202.6951
680.0000,10.0000,3.5228,320.8568,30691.8267,19123.7076
685.0000,10.0000,3.5211,320.9163,30792.2225,19044.7202
690.0000,10.0000,3.5194,320.9750,30892.6183,18965.7327
695.0000,10.0000,3.5173,321.0330,30993.0141,18886.7453
700.0000,10.0000,3.5155,321.0902,31093.4098,18807.7578
705.0000,10.0000,3.5140,321.1468,31193.8056,18728.7704
710.0000,10.0000,3.5124,321.2028,31294.2014,18649.7829
715.0000,10.0000,3.5104,321.2582,31394.5972,18570.7955
720.0000,10.0000,3.5086,321.3129,31494.9930,18491.8081
725.0000,10.0000,3.5070,321.3670,31595.3888,18412.8206
730.0000,10.0000,3.5056,321.4205,31695.7845,18333.8332
735.0000,10.0000,3.5041,321.4735,31796.1803,18254.8457
740.0000,10.0000,3.5029,321.5260,31896.5761,18175.8583
745.0000,10.0000,3.5016,321.5780,31996.9719,18096.8708
750.0000,10.0000,3.5000,321.6294,32097.3677,18017.8834
755.0000,10.0000,3.4987,321.6802,32197.7635,17938.8960
760.0000,10.0000,3.4972,321.7306,32298.1593,17859.9085
765.0000,10.0000,3.4953,321.7805,32398.5550,17780.9211
770.0000,10.0000,3.4936,321.8297,32498.9508,17701.9336
775.0000,10.0000,3.4922,321.8783,32599.3466,17622.9462
780.0000,10.0000,3.4909,321.9264,32699.7424,17543.9587
785.0000,10.0000,3.4896,321.9741,32800.1382,17464.9713
790.0000,10.0000,3.4882,322.0215,32900.5340,17385.9838
795.0000,10.0000,3.4868,322.0685,33000.9297,17306.9964
800.0000,10.0000,3.4858,322.1150,33101.3255,17228.0090
805.0000,10.0000,3.4845,322.1611,33201.7213,17149.0215
810.0000,10.0000,3.4832,322.2068,33302.1171,17070.0341
815.0000,10.0000,3.4818,322.2521,33402.5129,16991.0466
820.0000,10.0000,3.4802,322.2969,33502.9087,16912.0592
825.0000,10.0000,3.4790,322.3414,33603.3045,16833.0717
830.0000,10.0000,3.4777,322.3853,33703.7002,16754.0843
835.0000,10.0000,3.4760,322.4289,33804.0960,16675.0968
840.0000,10.0000,3.4746,322.4722,33904.4918,16596.1094
845.0000,10.0000,3.4733,322.5151,34004.8876,16517.1220
850.0000,10.0000,3.4719,322.5577,34105.2834,16438.1345
855.0000,10.0000,3.4704,322.5999,34205.6792,16359.1471
860.0000,10.0000,3.4690,322.6418,34306.0749,16280.1596
865.0000,10.0000,3.4678,322.6834,34406.4707,16201.1722
870.0000,10.0000,3.4665,322.7246,34506.8665,16122.1847
875.0000,10.0000,3.4649,322.7655,34607.2623,16043.1973
880.0000,10.0000,3.4634,322.8060,34707.6581,15964.2099
885.0000,10.0000,3.4621,322.8463,34808.0539,15885.2224
890.0000,10.0000,3.4605,322.8862,34908.4497,15806.2350
895.0000,10.0000,3.4592,322.9258,35008.8454,15727.2475
900.0000,10.0000,3.4580,322.9652,35109.2412,15648.2601
905.0000,10.0000,3.4565,323.0043,35209.6370,15569.2726
