time[s],stress[Pa]
1,0
2,1179278.297
3,1862688.048
4,2349679.046
5,2732773.526
6,3051864.038
7,3326787.232
8,3569229.032
9,3786026.543
10,3981777.276
11,4160106.076
12,4323861.747
13,4475378.17
14,4616522.418
15,4748505.222
16,4872293.099
17,4988961.251
18,5098967.144
19,5202929.98
20,5301559.221
21,5394790.123
22,5483593.292
23,5567942.486
24,5648294.096
25,5725010.042
26,5798319.309
27,5868479.061
28,5935710.282
29,6000184.343
30,6062055.389
31,6121495.029
32,6178669.066
33,6233644.219
34,6286478.628
35,6337335.603
36,6386408.526
37,6433667.149
38,6479148.811
39,6522975.746
40,6565327.868
41,6606183.17
42,6645591.815
43,6683631.134
44,6720409.922
45,6755951.348
46,6790307.412
47,6823530.077
48,6855673.596
49,6886777.662
50,6916882.936
51,6946031.2
52,6974268.97
53,7001622.795
54,7028122.54
55,7053794.763
56,7078662.723
57,7102757.92
58,7126152.149
59,7148835.516
60,7170828.251
61,7192148.162
62,7212810.629
63,7232834.347
64,7252299.425
65,7271184.496
66,7289506.221
67,7307279.855
68,7324519.25
69,7341236.853
70,7357488.363
71,7373265.526
72,7388582.513
73,7403453.146
74,7417890.445
75,7431906.625
76,7445528.039
77,7458761.859
78,7471618.773
79,7484110.466
80,7496248.05
81,7508042.066
82,7519511.563
83,7530664.621
84,7541508.802
85,7552053.265
86,7562306.615
87,7572276.903
88,7581971.623
89,7591397.715
90,7600561.565
91,7609481.194
92,7618173.287
93,7626631.815
94,7634862.96
95,7642872.468
96,7650665.649
97,7658247.374
98,7665622.081
99,7672793.766
100,7679769.65
101,7686585.102
102,7693221.801
103,7699684.42
104,7705977.348
105,7712104.693
106,7718070.281
107,7723877.658
108,7729530.085
109,7735030.545
110,7740410.522
111,7745663.381
112,7750786.591
113,7755783.901
114,7760658.816
115,7765414.584
116,7770054.195
117,7774580.363
118,7778995.527
119,7783301.835
120,7787501.139
121,7791594.985
122,7795584.606
123,7799470.911
124,7803254.48
125,7806963.689
126,7810621.438
127,7814197.29
128,7817693.196
129,7821110.911
130,7824451.989
131,7827717.777
132,7830909.411
133,7834027.812
134,7837073.681
135,7840047.492
136,7842949.487
137,7845779.675
138,7848537.822
139,7851223.45
140,7853840.5
141,7856455.27
142,7859015.267
143,7861521.735
144,7863975.842
145,7866378.677
146,7868731.257
147,7871034.523
148,7873289.343
149,7875496.51
150,7877656.747
151,7879770.704
152,7881838.96
153,7883862.025
154,7885840.339
155,7887774.274
156,7889682.799
157,7891561.205
158,7893404.026
159,7895212.402
160,7896987.482
161,7898730.42
162,7900442.385
163,7902124.563
164,7903778.154
165,7905404.383
166,7907004.497
167,7908579.772
168,7910131.512
169,7911661.053
170,7913169.769
171,7914653.376
172,7916105.577
173,7917536.336
174,7918946.548
175,7920337.11
176,7921708.927
177,7923062.91
178,7924399.98
179,7925721.068
180,7927027.117
181,7928319.084
182,7929597.94
183,7930864.674
184,7932120.291
185,7933365.818
186,7934602.3
187,7935811.885
188,7937009.356
189,7938195.216
190,7939369.874
191,7940533.716
192,7941687.108
193,7942830.393
194,7943963.892
195,7945087.904
196,7946202.707
197,7947308.557
198,7948405.687
199,7949494.311
200,7950574.618
201,7951646.777
202,7952711.493
203,7953768.847
204,7954818.699
205,7955861.165
206,7956896.343
207,7957924.31
208,7958945.127
209,7959958.831
210,7960965.445
211,7961964.971
212,7962957.392
213,7963942.672
214,7964920.758
215,7965891.577
216,7966855.039
217,7967812.928
218,7968769.33
219,7969720.09
220,7970665.322
221,7971605.137
222,7972539.651
223,7973468.981
224,7974393.249
225,7975312.58
226,7976227.103
227,7977136.955
228,7978042.275
229,7978943.213
230,7979839.923
231,7980732.57
232,7981621.324
233,7982505.297
234,7983385.354
235,7984261.737
236,7985134.614
237,7986004.164
238,7986870.572
239,7987734.036
240,7988594.764
241,7989452.975
242,7990308.901
243,7991162.784
244,7992014.883
245,7992865.466
246,7993714.819
247,7994563.239
248,7995403.729
249,7996235.937
250,7997065.015
251,7997891.053
252,7998714.154
253,7999534.434
254,8000352.022
255,8001167.064
256,8001979.721
257,8002790.171
258,8003598.609
259,8004405.251
260,8005210.331
261,8006014.104
262,8006816.849
263,8007618.864
264,8008420.474
265,8009222.026
266,8010023.895
267,8010826.481
268,8011630.212
269,8012435.544
270,8013242.964
271,8014052.987
272,8014866.161
273,8015683.066
274,8016496.845
275,8017277.501
276,8018056.41
277,8018833.701
278,8019609.518
279,8020384.02
280,8021157.381
281,8021929.794
282,8022701.467
283,8023472.626
284,8024243.519
285,8025014.409
286,8025785.581
287,8026557.343
288,8027330.021
289,8028103.965
290,8028879.548
291,8029657.167
292,8030437.242
293,8031220.218
294,8032006.568
295,8032796.79
296,8033591.408
297,8034390.976
298,8035196.075
299,8036007.316
300,8036825.34
301,8037609.738
302,8038384.475
303,8039159.277
304,8039934.24
305,8040709.461
306,8041485.045
307,8042261.103
308,8043037.752
309,8043815.117
310,8044593.328
311,8045372.524
312,8046152.85
313,8046934.46
314,8047717.514
315,8048502.182
316,8049288.64
317,8050077.075
318,8050867.681
319,8051660.661
320,8052456.229
321,8053254.605
322,8054056.023
323,8054860.722
324,8055668.955
325,8056480.983
326,8057297.079
327,8058107.209
328,8058904.605
329,8059702.706
330,8060501.501
331,8061300.974
332,8062101.112
333,8062901.894
334,8063703.302
335,8064505.314
336,8065307.903
337,8066111.044
338,8066914.707
339,8067718.862
340,8068523.474
341,8069328.507
342,8070133.923
343,8070939.682
344,8071745.74
345,8072552.051
346,8073358.568
347,8074165.239
348,8074972.013
349,8075778.833
350,8076585.641
351,8077392.377
352,8078198.977
353,8079005.456
354,8079814.307
355,8080623.244
356,8081432.229
357,8082241.219
358,8083050.172
359,8083859.044
360,8084667.788
361,8085476.357
362,8086284.704
363,8087092.78
364,8087900.532
365,8088707.91
366,8089514.86
367,8090321.326
368,8091127.254
369,8091932.585
370,8092737.262
371,8093541.223
372,8094344.409
373,8095146.756
374,8095948.201
375,8096748.678
376,8097548.122
377,8098346.465
378,8099143.637
379,8099939.568
380,8100746.089
381,8101559.295
382,8102373.091
383,8103187.465
384,8104002.403
385,8104817.89
386,8105633.906
387,8106450.433
388,8107267.449
389,8108084.931
390,8108902.852
391,8109721.187
392,8110539.905
393,8111358.975
394,8112178.366
395,8112998.041
396,8113817.964
397,8114638.097
398,8115458.399
399,8116278.828
400,8117099.339
401,8117919.886
402,8118740.421
403,8119560.895
404,8120381.254
405,8121201.447
406,8122021.416
407,8122841.105
408,8123660.454
409,8124479.402
410,8125297.885
411,8126115.838
412,8126933.196
413,8127749.888
414,8128565.843
415,8129380.99
416,8130195.254
417,8131008.558
418,8131820.825
419,8132631.973
420,8133441.92
421,8134250.584
422,8135057.877
423,8135863.713
424,8136668.001
425,8137470.649
426,8138271.566
427,8139070.654
428,8139867.817
429,8140662.957
430,8141455.971
431,8142246.757
432,8143035.21
433,8143821.223
434,8144604.689
435,8145385.496
436,8146163.532
437,8146958.293
438,8147761.393
439,8148564.083
440,8149366.361
441,8150168.224
442,8150969.669
443,8151770.695
444,8152571.301
445,8153371.484
446,8154171.245
447,8154970.581
448,8155769.494
449,8156567.982
450,8157366.046
451,8158163.686
452,8158960.904
453,8159757.701
454,8160554.077
455,8161350.035
456,8162145.577
457,8162940.705
458,8163735.422
459,8164529.73
460,8165323.634
461,8166117.136
462,8166910.241
463,8167702.952
464,8168495.274
465,8169287.213
466,8170078.773
467,8170869.959
468,8171660.778
469,8172451.234
470,8173241.336
471,8174031.089
472,8174820.5
473,8175609.576
474,8176398.325
475,8177188.938
476,8177980.093
477,8178771.224
478,8179562.353
479,8180353.5
480,8181144.687
481,8181935.935
482,8182727.268
483,8183518.708
484,8184310.278
485,8185102.003
486,8185893.906
487,8186686.014
488,8187478.35
489,8188270.943
490,8189063.817
491,8189857
492,8190650.519
493,8191444.403
494,8192238.679
495,8193033.378
496,8193828.528
497,8194624.159
498,8195420.303
499,8196216.989
500,8197014.25
501,8197812.118
502,8198610.626
503,8199409.805
504,8200209.691
505,8201010.317
506,8201811.717
