# time [s], voltage [V],electrolyte concentration [mol/m^3] at x = 0, xn, xp, 1 (check later)
0,4.036,1000,1000,1000,1000
10,3.9816,1173.1,1017,973.13,860.69
20,3.9633,1326.1,1007.7,945.88,762.83
30,3.9511,1454.5,991.37,918.65,698.14
40,3.9436,1562,974.01,894.56,653.53
50,3.9367,1652,958.12,874.42,621.53
60,3.9307,1727.3,944.46,858.01,597.88
70,3.9291,1790.1,933.04,844.76,580.01
80,3.9263,1842.3,923.65,834.1,566.29
90,3.9233,1885.5,915.97,825.53,555.62
100,3.9213,1921.1,909.72,818.64,547.24
110,3.9202,1950.3,904.64,813.09,540.62
120,3.9174,1974.3,900.52,808.61,535.36
130,3.9166,1993.8,897.18,805,531.16
140,3.9156,2009.8,894.47,802.09,527.8
150,3.9136,2022.8,892.28,799.73,525.1
160,3.9132,2033.3,890.5,797.83,522.92
170,3.9112,2041.9,889.06,796.29,521.17
180,3.9092,2048.8,887.89,795.04,519.76
190,3.9091,2054.5,886.95,794.04,518.62
200,3.9085,2059,886.18,793.22,517.7
210,3.9072,2062.8,885.56,792.56,516.96
220,3.9064,2065.8,885.06,792.03,516.35
230,3.905,2068.2,884.66,791.59,515.87
240,3.902,2070.2,884.33,791.24,515.47
250,3.899,2071.8,884.06,790.96,515.15
260,3.8968,2073.1,883.84,790.73,514.9
270,3.8952,2074.1,883.67,790.54,514.69
280,3.8929,2075,883.53,790.39,514.52
290,3.8896,2075.7,883.41,790.27,514.38
300,3.8855,2076.2,883.32,790.17,514.27
310,3.8829,2076.7,883.24,790.09,514.18
320,3.8811,2077,883.18,790.03,514.11
330,3.8779,2077.3,883.13,789.97,514.05
340,3.8746,2077.6,883.09,789.93,514
350,3.872,2077.8,883.06,789.9,513.96
360,3.8699,2077.9,883.03,789.87,513.93
370,3.8672,2078.1,883.01,789.84,513.9
380,3.8643,2078.2,882.99,789.83,513.88
390,3.8618,2078.3,882.98,789.81,513.86
400,3.8591,2078.3,882.96,789.8,513.85
410,3.8561,2078.4,882.96,789.79,513.84
420,3.8525,2078.4,882.95,789.78,513.83
430,3.8493,2078.5,882.94,789.77,513.82
440,3.8469,2078.5,882.94,789.77,513.81
450,3.8441,2078.5,882.93,789.76,513.81
460,3.8406,2078.6,882.93,789.76,513.81
470,3.8365,2078.6,882.93,789.76,513.8
480,3.8335,2078.6,882.92,789.75,513.8
490,3.8312,2078.6,882.92,789.75,513.8
500,3.8282,2078.6,882.92,789.75,513.8
510,3.8254,2078.6,882.92,789.75,513.79
520,3.8227,2078.6,882.92,789.75,513.79
530,3.8199,2078.6,882.92,789.75,513.79
540,3.817,2078.6,882.92,789.75,513.79
550,3.8138,2078.6,882.92,789.74,513.79
560,3.8111,2078.6,882.91,789.74,513.79
570,3.8086,2078.6,882.91,789.74,513.79
580,3.8057,2078.6,882.91,789.74,513.79
590,3.8035,2078.6,882.91,789.74,513.79
600,3.8021,2078.6,882.91,789.74,513.79
610,3.8002,2078.6,882.91,789.74,513.79
620,3.7978,2078.6,882.91,789.74,513.79
630,3.7948,2078.6,882.91,789.74,513.79
640,3.7927,2078.6,882.91,789.74,513.79
650,3.791,2078.6,882.91,789.74,513.79
660,3.7889,2078.7,882.91,789.74,513.79
670,3.7867,2078.7,882.91,789.74,513.79
680,3.7844,2078.7,882.91,789.74,513.79
690,3.7821,2078.7,882.91,789.74,513.79
700,3.7806,2078.7,882.91,789.74,513.79
710,3.779,2078.7,882.91,789.74,513.79
720,3.7769,2078.7,882.91,789.74,513.79
730,3.7751,2078.7,882.91,789.74,513.79
740,3.7732,2078.7,882.91,789.74,513.79
750,3.7711,2078.7,882.91,789.74,513.79
