# time [s], current [A], voltage [V] for drive cycle UDDS
0.0000,0.0304,4.1849
1.0000,0.0304,4.1849
2.0000,0.0304,4.1848
3.0000,0.0304,4.1848
4.0000,0.0304,4.1847
5.0000,0.0304,4.1847
6.0000,0.0304,4.1846
7.0000,0.0304,4.1846
8.0000,0.0304,4.1846
9.0000,0.0304,4.1845
10.0000,0.0304,4.1845
11.0000,0.0304,4.1845
12.0000,0.0304,4.1844
13.0000,0.0304,4.1844
14.0000,0.0304,4.1844
15.0000,0.0304,4.1843
16.0000,0.0304,4.1843
17.0000,0.0304,4.1843
18.0000,0.0304,4.1843
19.0000,0.0304,4.1842
20.0000,0.0304,4.1842
21.0000,0.3823,4.1676
22.0000,1.1017,4.1360
23.0000,1.6650,4.1136
24.0000,2.4526,4.0869
25.0000,3.0432,4.0677
26.0000,3.4383,4.0538
27.0000,0.8765,4.1282
28.0000,1.4520,4.1068
29.0000,4.2781,4.0301
30.0000,2.0705,4.0802
31.0000,1.6470,4.0924
32.0000,0.6425,4.1296
33.0000,-0.1422,4.1656
34.0000,-0.3715,4.1776
35.0000,-0.3620,4.1789
36.0000,-0.2434,4.1751
37.0000,-0.3442,4.1807
38.0000,-2.4679,4.2595
39.0000,-1.5457,4.2363
40.0000,0.3051,4.1597
41.0000,0.6553,4.1433
42.0000,0.6684,4.1419
43.0000,0.9280,4.1302
44.0000,1.7388,4.0996
45.0000,3.1551,4.0573
46.0000,3.5063,4.0451
47.0000,3.1505,4.0498
48.0000,0.8288,4.1198
49.0000,0.1278,4.1509
50.0000,0.3006,4.1439
51.0000,-1.1905,4.2093
52.0000,-2.1659,4.2452
53.0000,-1.5575,4.2302
54.0000,-0.8946,4.2082
55.0000,0.3235,4.1549
56.0000,2.7903,4.0677
57.0000,3.4132,4.0483
58.0000,3.2937,4.0473
59.0000,3.2237,4.0457
60.0000,2.3216,4.0663
61.0000,1.2673,4.0987
62.0000,1.0965,4.1048
63.0000,0.7226,4.1195
64.0000,-0.1533,4.1588
