# time [s], current [A], voltage [V] for drive cycle US06
0.0000,0.0129,4.1858
1.0000,0.0129,4.1857
2.0000,0.0129,4.1857
3.0000,0.0129,4.1857
4.0000,0.0129,4.1857
5.0000,0.0129,4.1856
6.0000,0.0137,4.1856
7.0000,0.0235,4.1851
8.0000,0.0313,4.1847
9.0000,0.0506,4.1837
10.0000,0.5805,4.1591
11.0000,2.6467,4.0859
12.0000,3.8424,4.0523
13.0000,4.1121,4.0403
14.0000,-0.2368,4.1793
15.0000,3.1954,4.0585
16.0000,4.1340,4.0329
17.0000,2.8259,4.0592
18.0000,2.5489,4.0645
19.0000,2.6931,4.0587
20.0000,2.3144,4.0673
21.0000,3.5036,4.0354
22.0000,2.7033,4.0521
23.0000,1.0570,4.1027
24.0000,-0.4500,4.1687
25.0000,-0.4451,4.1708
26.0000,-1.8319,4.2259
27.0000,-0.6912,4.1878
28.0000,-0.4163,4.1776
29.0000,0.3948,4.1421
30.0000,1.4094,4.1010
31.0000,-0.0673,4.1619
32.0000,0.4008,4.1414
33.0000,-1.6765,4.2281
34.0000,-3.0094,4.2707
35.0000,-2.9658,4.2755
36.0000,-2.8139,4.2770
37.0000,-2.1029,4.2617
38.0000,-1.7886,4.2550
39.0000,-1.0515,4.2308
40.0000,-0.3315,4.2002
41.0000,-0.0003,4.1841
42.0000,0.0129,4.1828
43.0000,0.0129,4.1822
44.0000,0.0129,4.1817
45.0000,0.0129,4.1813
46.0000,0.0129,4.1810
47.0000,0.0129,4.1807
48.0000,0.0129,4.1805
49.0000,0.0262,4.1798
50.0000,1.4175,4.1201
51.0000,2.3404,4.0879
52.0000,1.9203,4.0970
53.0000,2.8051,4.0693
54.0000,4.2382,4.0322
55.0000,4.2743,4.0264
56.0000,2.8574,4.0550
57.0000,4.2758,4.0201
58.0000,4.9662,4.0022
59.0000,4.8662,3.9999
60.0000,3.8788,4.0168
61.0000,2.5210,4.0478
62.0000,3.5651,4.0212
63.0000,3.3848,4.0236
64.0000,3.6869,4.0150
65.0000,3.1176,4.0263
66.0000,2.8487,4.0317
67.0000,2.1836,4.0486
68.0000,0.1873,4.1217
69.0000,0.9150,4.0932
70.0000,0.0053,4.1325
71.0000,-0.3721,4.1509
72.0000,-0.3723,4.1528
73.0000,0.3374,4.1230
74.0000,1.0426,4.0946
75.0000,0.3374,4.1236
76.0000,-0.3722,4.1557
77.0000,-0.9657,4.1820
78.0000,0.1347,4.1367
79.0000,0.4698,4.1224
80.0000,0.4680,4.1228
81.0000,0.8047,4.1088
82.0000,0.8072,4.1086
83.0000,1.4932,4.0829
84.0000,2.2074,4.0596
85.0000,3.3239,4.0292
86.0000,4.1708,4.0082
87.0000,4.5251,3.9977
88.0000,4.3083,3.9986
89.0000,4.2568,3.9967
90.0000,4.8156,3.9831
91.0000,5.2028,3.9735
92.0000,4.5034,3.9848
93.0000,4.6358,3.9805
94.0000,3.3841,4.0055
95.0000,1.5935,4.0538
96.0000,1.3703,4.0619
97.0000,0.2213,4.1070
98.0000,-2.5008,4.2074
99.0000,-1.8485,4.1923
100.0000,-1.6727,4.1900
101.0000,-1.0737,4.1724
102.0000,-1.0650,4.1746
103.0000,-1.4701,4.1917
104.0000,-1.7157,4.2027
105.0000,-1.5508,4.1998
106.0000,-1.6473,4.2053
107.0000,-1.3644,4.1977
108.0000,-1.5766,4.2070
109.0000,-1.4219,4.2038
110.0000,-1.4997,4.2085
111.0000,-1.2420,4.2014
112.0000,-1.4213,4.2095
113.0000,-1.9789,4.2299
114.0000,-2.4495,4.2465
115.0000,-1.7710,4.2294
116.0000,-0.6700,4.1898
117.0000,-0.6541,4.1894
118.0000,-0.7979,4.1956
119.0000,-3.6676,4.2837
120.0000,-3.2481,4.2796
121.0000,-2.1471,4.2542
122.0000,-1.5972,4.2387
123.0000,-1.3075,4.2297
124.0000,-0.8084,4.2108
125.0000,-0.2941,4.1877
126.0000,-0.0391,4.1749
127.0000,-0.0121,4.1727
128.0000,-0.0003,4.1714
129.0000,0.0129,4.1700
130.0000,0.0129,4.1694
131.0000,0.0129,4.1689
132.0000,0.0129,4.1684
133.0000,0.0129,4.1680
134.0000,0.0129,4.1676
135.0000,0.0129,4.1673
136.0000,0.1337,4.1614
137.0000,1.3164,4.1108
138.0000,2.9506,4.0594
139.0000,4.3345,4.0242
140.0000,5.7205,3.9923
141.0000,5.4552,3.9913
142.0000,5.8237,3.9804
143.0000,6.0151,3.9724
144.0000,3.7866,4.0112
145.0000,2.7655,4.0334
146.0000,2.3944,4.0424
147.0000,2.9480,4.0269
148.0000,1.8924,4.0550
149.0000,2.5999,4.0346
150.0000,1.8149,4.0563
151.0000,1.3287,4.0724
152.0000,1.3425,4.0721
153.0000,2.0570,4.0491
154.0000,0.6788,4.0968
155.0000,0.6788,4.0977
156.0000,2.0956,4.0489
157.0000,3.7768,4.0055
158.0000,1.8459,4.0537
159.0000,3.0051,4.0215
160.0000,1.3509,4.0687
161.0000,3.1006,4.0183
162.0000,1.4034,4.0659
163.0000,1.4141,4.0657
164.0000,1.4248,4.0653
165.0000,-0.5008,4.1435
166.0000,-1.2951,4.1762
167.0000,0.4045,4.1082
168.0000,0.2119,4.1169
169.0000,-0.1120,4.1322
170.0000,1.1354,4.0810
171.0000,-0.6271,4.1552
172.0000,1.4858,4.0700
173.0000,0.0113,4.1283
174.0000,0.5586,4.1055
175.0000,0.1887,4.1218
176.0000,1.1018,4.0848
177.0000,1.1079,4.0840
178.0000,0.3742,4.1134
179.0000,0.1873,4.1222
180.0000,0.5484,4.1072
181.0000,0.5464,4.1074
182.0000,-0.8691,4.1687
183.0000,-0.2499,4.1450
184.0000,1.3988,4.0771
185.0000,-2.4102,4.2228
186.0000,5.0098,3.9894
187.0000,2.5027,4.0403
188.0000,3.1156,4.0232
189.0000,2.6317,4.0334
190.0000,0.9671,4.0853
191.0000,3.2753,4.0165
192.0000,1.7871,4.0553
193.0000,2.9980,4.0214
194.0000,1.6541,4.0580
195.0000,1.8721,4.0510
196.0000,2.0978,4.0438
197.0000,0.8948,4.0839
198.0000,1.3038,4.0691
199.0000,-0.0790,4.1250
200.0000,1.4977,4.0634
201.0000,2.1259,4.0433
202.0000,0.0893,4.1176
203.0000,1.1053,4.0770
204.0000,1.3141,4.0696
205.0000,3.1926,4.0153
206.0000,0.5214,4.0983
207.0000,1.3521,4.0672
208.0000,1.3591,4.0667
209.0000,1.3661,4.0664
210.0000,1.7966,4.0520
211.0000,1.8134,4.0511
212.0000,2.4758,4.0312
213.0000,0.9950,4.0778
214.0000,1.8602,4.0482
215.0000,-2.6906,4.2132
216.0000,-0.0676,4.1250
217.0000,1.5503,4.0615
218.0000,1.3521,4.0677
219.0000,0.1045,4.1173
220.0000,2.1829,4.0419
221.0000,0.7354,4.0902
222.0000,0.3146,4.1082
223.0000,1.5617,4.0608
224.0000,-0.4975,4.1432
225.0000,2.1685,4.0427
226.0000,0.7278,4.0910
227.0000,1.1428,4.0753
228.0000,0.5192,4.0996
229.0000,1.3486,4.0680
230.0000,-0.3549,4.1373
231.0000,1.1240,4.0768
232.0000,1.9596,4.0486
233.0000,1.1428,4.0750
234.0000,1.5655,4.0602
235.0000,1.9998,4.0461
236.0000,1.5964,4.0578
237.0000,-0.9306,4.1588
238.0000,1.3556,4.0672
239.0000,-0.9263,4.1601
240.0000,2.1543,4.0429
241.0000,-0.2136,4.1309
242.0000,2.1543,4.0428
243.0000,0.5126,4.0993
244.0000,-0.0726,4.1251
245.0000,1.1146,4.0767
246.0000,0.7054,4.0923
247.0000,1.5276,4.0621
248.0000,1.1240,4.0757
249.0000,0.7128,4.0913
250.0000,-0.4989,4.1434
251.0000,0.8948,4.0855
252.0000,1.7142,4.0563
253.0000,0.7005,4.0922
254.0000,-0.2188,4.1318
255.0000,1.2937,4.0707
256.0000,0.6883,4.0932
257.0000,0.8893,4.0854
258.0000,1.0930,4.0775
259.0000,0.2818,4.1101
260.0000,1.6980,4.0568
261.0000,1.5089,4.0622
262.0000,-0.0782,4.1249
263.0000,0.8893,4.0850
264.0000,1.0930,4.0770
265.0000,-0.0813,4.1256
266.0000,2.7118,4.0275
267.0000,0.9031,4.0831
268.0000,-0.0782,4.1246
269.0000,1.9111,4.0492
270.0000,0.0849,4.1171
271.0000,0.2818,4.1094
